artifact,experiment,book,model,env_tag,host,backend,ctx,parallel,kv,arm,n,correct,accuracy_pct,validation,dirty,commit,elapsed_s,finished,endpoint
cascade__index18__llama-3.3-70b__a6000-batchtrig.json,cascade,index18,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,99,69,69.7,ok,False,,0.1,07-30 03:28,http://127.0.0.1:8090/v1
cascade__index18__llama-3.3-70b__a6000-newbook.json,cascade,index18,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,99,62,62.6,ok,False,,0.1,07-28 17:27,http://127.0.0.1:8090/v1
cascade__index18__llama-3.3-70b__a6000-newbook.json,cascade,index18,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,99,73,73.7,ok,False,,0.1,07-28 17:27,http://127.0.0.1:8090/v1
cascade__index18__llama-3.3-70b__tuned-cheap-arm.json,cascade,index18,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-kwami7f2-main,llama.cpp-cuda,16384,1,f16?,cheap-w1,99,57,57.6,ok,False,,0.1,08-02 17:19,http://127.0.0.1:8090/v1
cascade__index18__llama-3.3-70b__tuned-cheap-arm.json,cascade,index18,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-kwami7f2-main,llama.cpp-cuda,16384,1,f16?,cascade,99,63,63.6,ok,False,,0.1,08-02 17:19,http://127.0.0.1:8090/v1
cascade__mushoku16__llama-3.3-70b__a6000-batchtrig.json,cascade,mushoku16,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,136,68,50.0,ok,False,,0.1,07-30 03:12,http://127.0.0.1:8090/v1
cascade__mushoku16__llama-3.3-70b__a6000-batchtrig.json,cascade,mushoku16,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,136,87,64.0,ok,False,,0.1,07-30 03:12,http://127.0.0.1:8090/v1
cascade__mushoku16__llama-3.3-70b__a6000-contig.json,cascade,mushoku16,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,139,66,47.5,ok,False,,0.1,07-28 14:16,http://127.0.0.1:8090/v1
cascade__mushoku16__llama-3.3-70b__a6000-contig.json,cascade,mushoku16,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,139,89,64.0,ok,False,,0.1,07-28 14:16,http://127.0.0.1:8090/v1
cascade__mushoku16__llama-3.3-70b__tuned-cheap-arm.json,cascade,mushoku16,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-kwami7f2-main,llama.cpp-cuda,16384,1,f16?,cheap-w1,136,75,55.1,ok,False,,0.1,08-02 16:39,http://127.0.0.1:8090/v1
